Approach,Dataset,Method,k,N_runs,Inertia_mean,Inertia_std,Silhouette_mean,Silhouette_std,Calinski_Harabasz_mean,Calinski_Harabasz_std,Davies_Bouldin_mean,Davies_Bouldin_std,BCSS_mean,BCSS_std,Variance_Ratio_mean,Variance_Ratio_std,Balance_mean,Balance_std,SPD_mean,SPD_std,Disparate_Impact_mean,Disparate_Impact_std,Entropy_mean,Entropy_std
approach2,credit,postprocessing_nfp,2,30,572501.6981,0.0567,0.138,0.0,4584.7446,0.0034,2.4375,0.0001,87498.3019,0.0567,0.1528,0.0,0.6426,0.0,0.0471,0.0001,0.9042,0.0002,0.9632,0.0
approach2,credit,postprocessing_gini,2,30,572595.581,0.0752,0.138,0.0,4579.0744,0.0045,2.4392,0.0001,87404.419,0.0752,0.1526,0.0,0.6426,0.0,0.0471,0.0001,0.9042,0.0002,0.9632,0.0
approach2,credit,rawlsian,2,30,572434.3561,0.0148,0.1383,0.0,4588.813,0.0009,2.436,0.0001,87565.6439,0.0148,0.153,0.0,0.6422,0.0,0.0483,0.0,0.9018,0.0001,0.963,0.0
approach2,law,kmeans,4,30,100572.086,1417.8391,0.2713,0.0312,5350.5206,157.3349,1.2632,0.1092,86347.914,1417.8391,0.8589,0.0253,0.7195,0.005,0.0258,0.0006,0.8224,0.003,0.978,0.0006
approach2,law,fairlet,4,30,154358.3831,280.5411,0.0517,0.0014,1314.0913,13.7124,2.6985,0.0343,32561.6169,280.5411,0.211,0.0022,0.8904,0.0018,0.0709,0.0013,0.7607,0.0024,0.9856,0.0006
approach2,law,bfkm,4,30,104585.8525,2800.1432,0.2063,0.037,4911.6812,288.3261,1.5857,0.1724,82334.1475,2800.1432,0.7885,0.0463,0.7089,0.0213,0.0246,0.0028,0.8281,0.0193,0.9767,0.0029
approach2,law,fair_centroid,4,30,103225.5207,952.6462,0.2662,0.0301,5051.6346,101.6162,1.2849,0.1075,83694.4793,952.6462,0.8109,0.0163,0.7184,0.0053,0.0254,0.0002,0.8211,0.0021,0.9777,0.0007
approach2,law,postprocessing_nfp,4,30,100775.7928,1424.3363,0.2702,0.0312,5327.1243,157.4032,1.2676,0.1097,86144.2072,1424.3363,0.8552,0.0253,0.7252,0.005,0.0251,0.0006,0.8271,0.003,0.9795,0.0006
approach2,law,postprocessing_gini,4,30,100881.288,1404.8857,0.2703,0.0311,5314.9757,155.011,1.2685,0.1092,86038.712,1404.8857,0.8532,0.0249,0.7252,0.005,0.0251,0.0006,0.8271,0.003,0.9795,0.0006
approach2,law,rawlsian,4,30,104838.0555,1.3753,0.1749,0.0001,4877.1965,0.1457,1.575,0.003,82081.9445,1.3753,0.7829,0.0,0.7043,0.0003,0.0236,0.0,0.8333,0.0004,0.9763,0.0001
approach2,adult_race,kmeans,5,30,249892.9929,3773.3117,0.152,0.0095,3383.0743,165.9228,1.6967,0.1128,112051.0071,3773.3117,0.4487,0.022,0.182,0.0292,0.0691,0.0062,0.6846,0.038,0.5868,0.0344
approach2,adult_race,fairlet,5,30,347810.5755,370.4555,-0.0365,0.0162,306.3694,8.3619,3.9551,0.2035,14133.4245,370.4555,0.0406,0.0011,0.8129,0.0018,0.2159,0.018,0.2097,0.0109,0.8659,0.0057
approach2,adult_race,bfkm,5,30,262665.4866,7497.0388,0.1348,0.0317,2858.0604,297.4474,2.0137,0.2028,99278.5134,7497.0388,0.3791,0.0395,0.188,0.0248,0.0693,0.0104,0.6931,0.0446,0.5998,0.0289
approach2,adult_race,fair_centroid,5,30,255965.5385,4586.5721,0.1464,0.0113,3124.9073,189.811,1.7981,0.1204,105978.4615,4586.5721,0.4145,0.0252,0.1812,0.0299,0.0735,0.0049,0.6718,0.0337,0.5832,0.0363
approach2,adult_race,postprocessing_nfp,5,30,250100.0267,3849.9656,0.1518,0.0095,3374.1301,168.9416,1.6977,0.1129,111843.9733,3849.9656,0.4475,0.0224,0.1816,0.0284,0.0689,0.0062,0.687,0.0384,0.587,0.0338
approach2,adult_race,postprocessing_gini,5,30,250343.1434,3819.6523,0.1516,0.0095,3363.4879,167.4109,1.6999,0.1125,111600.8566,3819.6523,0.4461,0.0222,0.1816,0.0284,0.0689,0.0062,0.687,0.0384,0.587,0.0338
approach2,adult_race,rawlsian,5,30,266768.057,2554.4492,0.128,0.0076,2690.761,99.3811,2.1235,0.1363,95175.943,2554.4492,0.3569,0.0132,0.1788,0.0198,0.069,0.0053,0.7257,0.028,0.5957,0.0231
approach2,adult_combined,kmeans,5,30,249892.9929,3773.3117,0.152,0.0095,3383.0743,165.9228,1.6967,0.1128,112051.0071,3773.3117,0.4487,0.022,0.506,0.0387,0.122,0.0141,0.5705,0.0527,0.8933,0.0349
approach2,adult_combined,fairlet,5,30,354392.3564,240.1434,-0.0498,0.0131,160.6552,5.2164,3.8638,0.261,7551.6436,240.1434,0.0213,0.0007,0.9087,0.0064,0.0552,0.003,0.7795,0.008,0.987,0.0024
approach2,adult_combined,bfkm,5,30,262645.5246,7511.6346,0.1347,0.0316,2858.8854,298.0824,2.0138,0.2027,99298.4754,7511.6346,0.3792,0.0395,0.4998,0.0547,0.1274,0.0287,0.5543,0.0759,0.8656,0.0632
approach2,adult_combined,fair_centroid,5,30,258137.264,4138.9559,0.146,0.0106,3034.5083,167.8583,1.7926,0.1173,103806.736,4138.9559,0.4025,0.0223,0.4975,0.0415,0.1218,0.0143,0.5597,0.0558,0.8863,0.0358
approach2,adult_combined,postprocessing_nfp,5,30,250014.1241,3785.932,0.1517,0.0095,3377.7979,166.3867,1.6977,0.1127,111929.8759,3785.932,0.448,0.0221,0.5136,0.0379,0.1195,0.0141,0.5787,0.052,0.8982,0.0327
