Dataset,Method,k,N_runs,Inertia_mean,Inertia_std,Silhouette_mean,Silhouette_std,Calinski_Harabasz_mean,Calinski_Harabasz_std,Davies_Bouldin_mean,Davies_Bouldin_std,BCSS_mean,BCSS_std,Variance_Ratio_mean,Variance_Ratio_std,Balance_mean,Balance_std,SPD_mean,SPD_std,Disparate_Impact_mean,Disparate_Impact_std,Entropy_mean,Entropy_std
adult_combined,postprocessing_nfp,8,30,196525.3337,733.2991,0.1584,0.0092,3625.9855,29.5293,1.5095,0.0437,165418.6663,733.2991,0.8417,0.0069,0.499,0.0439,0.0743,0.0148,0.5787,0.0618,0.8814,0.0442
adult_combined,postprocessing_gini,8,30,196607.3791,738.9438,0.1582,0.0093,3622.6763,29.7289,1.51,0.0436,165336.6209,738.9438,0.841,0.0069,0.499,0.0439,0.0743,0.0148,0.5787,0.0618,0.8814,0.0442
adult_combined,rawlsian,6,30,248626.3954,7597.7448,0.1335,0.013,2757.1895,272.3515,1.9337,0.1795,113317.6046,7597.7448,0.4572,0.0452,0.4377,0.0131,0.127,0.0018,0.4796,0.0158,0.7918,0.0095
compas_race,fair_centroid,2,30,165500.7354,28.1653,0.1704,0.0001,1570.1875,1.6174,2.0778,0.001,32774.2646,28.1653,0.198,0.0002,0.7057,0.0001,0.0651,0.0004,0.8776,0.0008,0.9746,0.0
compas_race,postprocessing_nfp,2,30,163346.3815,0.1496,0.1774,0.0,1695.4708,0.0088,2.0109,0.0,34928.6185,0.1496,0.2138,0.0,0.7002,0.0,0.0444,0.0004,0.9149,0.0007,0.9757,0.0
compas_race,postprocessing_gini,2,30,163598.384,0.1503,0.1764,0.0,1680.6455,0.0088,2.0195,0.0,34676.616,0.1503,0.212,0.0,0.7002,0.0,0.0444,0.0004,0.9149,0.0007,0.9757,0.0
compas_race,rawlsian,2,30,163323.0505,0.003,0.1775,0.0,1696.8457,0.0002,2.0097,0.0,34951.9495,0.003,0.214,0.0,0.7009,0.0,0.0476,0.0004,0.9091,0.0008,0.9755,0.0
compas_combined,fair_centroid,2,30,165754.2258,6.8181,0.1684,0.0,1555.66,0.3901,2.0838,0.0003,32520.7742,6.8181,0.1962,0.0,0.3203,0.0,0.0528,0.0005,0.8994,0.0009,0.797,0.0001
compas_combined,postprocessing_nfp,2,30,163351.3863,0.1703,0.1774,0.0,1695.1759,0.01,2.0111,0.0,34923.6137,0.1703,0.2138,0.0,0.32,0.0,0.0548,0.0004,0.8957,0.0007,0.7965,0.0001
compas_combined,postprocessing_gini,2,30,163624.2888,0.1772,0.1763,0.0,1679.1241,0.0104,2.0204,0.0,34650.7112,0.1772,0.2118,0.0,0.32,0.0,0.0548,0.0004,0.8957,0.0007,0.7965,0.0001
compas_combined,rawlsian,2,30,163323.1587,0.1821,0.1775,0.0,1696.8393,0.0107,2.0097,0.0001,34951.8413,0.1821,0.214,0.0,0.3204,0.0,0.0608,0.0006,0.885,0.001,0.7964,0.0001
law_race,fair_centroid,3,30,111861.3082,1810.9734,0.2354,0.0456,4712.2864,223.0685,1.5365,0.2408,56366.6918,1810.9734,0.5043,0.0239,0.0697,0.0067,0.3291,0.0353,0.3801,0.0803,0.2923,0.0012
law_race,postprocessing_nfp,3,30,102806.3291,1504.7112,0.2571,0.0493,5949.6681,219.7945,1.3833,0.2052,65421.6709,1504.7112,0.6367,0.0235,0.0744,0.0037,0.2872,0.0506,0.4993,0.1344,0.3202,0.0121
law_race,postprocessing_gini,3,30,103006.7713,1532.4036,0.2563,0.0492,5920.0123,222.9045,1.3867,0.2062,65221.2287,1532.4036,0.6335,0.0239,0.0744,0.0037,0.2872,0.0506,0.4993,0.1344,0.3202,0.0121
law_race,rawlsian,2,30,117446.8766,0.0255,0.2652,0.0,8081.0935,0.0058,1.4273,0.0,50781.1234,0.0255,0.4324,0.0,0.0735,0.0,0.4247,0.0001,0.3673,0.0,0.3149,0.0
law_combined,fair_centroid,3,30,107868.4513,235.6424,0.245,0.0436,5228.9365,31.7381,1.5259,0.1535,60359.5487,235.6424,0.5596,0.0034,0.5896,0.0217,0.0057,0.0055,0.9523,0.0369,0.9496,0.0091
law_combined,postprocessing_nfp,3,30,102795.5331,1498.4876,0.2572,0.0493,5951.2486,218.947,1.3829,0.2047,65432.4669,1498.4876,0.6369,0.0234,0.5895,0.0123,0.0056,0.0048,0.9531,0.038,0.9496,0.0064
law_combined,postprocessing_gini,3,30,102795.5331,1498.4876,0.2572,0.0493,5951.2486,218.947,1.3829,0.2047,65432.4669,1498.4876,0.6369,0.0234,0.5895,0.0123,0.0056,0.0048,0.9531,0.038,0.9496,0.0064
law_combined,rawlsian,2,30,117446.8766,0.0255,0.2652,0.0,8081.0935,0.0058,1.4273,0.0,50781.1234,0.0255,0.4324,0.0,0.6141,0.0,0.0046,0.0,0.9779,0.0,0.9582,0.0
