Dataset,Method,k,Inertia,Silhouette,Calinski_Harabasz,Davies_Bouldin,Dunn_Index,WCSS,BCSS,TSS,Variance_Ratio,Inter_Cluster_Distance,Intra_Cluster_Distance,Separation_Index
diabetes_gender,kmeans,2,3718766.634489405,0.07387865142485564,4318.585497057952,3.9511427277571336,0.005714580420760722,3718766.634489405,161421.36551059358,3880187.999999999,0.04340723185302998,2.5495910045396735,7.298169633745327,0.34934663518245135
diabetes_gender,fairlet,2,3814831.781944534,0.03546052137856907,1704.4762406337147,6.324023049992,0.0036525968307533434,3814831.781944534,65356.21805547124,3880187.999999999,0.017132136301474667,1.6296136266114762,7.473692000368857,0.2180466664308682
diabetes_gender,bfkm,2,3718759.5823400896,0.07441277954929632,4318.782356690604,3.9525222523365877,0.005715846889975447,3718759.5823400896,161428.4176599105,3880187.999999999,0.04340921054066342,2.5501369056402776,7.302309797567567,0.3492233247197674
diabetes_gender,fair_centroid,2,3724895.4379678294,0.07223847672797054,4147.782737495962,4.028480564254882,0.005608042675799888,3724895.4379678294,155292.5620321683,3880187.999999999,0.041690448663141644,2.502058612623501,7.306359732831478,0.3424494144984924
diabetes_gender,postprocessing_nfp,2,3718768.9269990744,0.07403569437357231,4318.521502173991,3.9517598527957722,0.005714923670390679,3718768.9269990744,161419.07300092478,3880187.999999999,0.0434065886237209,2.549744147221098,7.299810583275978,0.3492890833445208
diabetes_gender,postprocessing_gini,2,3718768.9269990744,0.07403569437357231,4318.521502173991,3.9517598527957722,0.005714923670390679,3718768.9269990744,161419.07300092478,3880187.999999999,0.0434065886237209,2.549744147221098,7.299810583275978,0.3492890833445208
diabetes_gender,rawlsian,2,3718769.744191838,0.07481391117907396,4318.4986904437155,3.9537290183087177,0.0057163152843260736,3718769.744191838,161418.25580816326,3880187.999999999,0.04340635933705614,2.55036502331527,7.305487686932102,0.34910263799052155
diabetes_race,kmeans,2,3562609.445109017,0.07477041667178165,4131.6236030867985,3.956194186500057,0.00583694845518712,3562609.445109017,154441.55489095635,3717050.9999999986,0.043350683612817506,2.5488732412714494,7.30672308980858,0.3488394468960537
diabetes_race,fairlet,2,3697238.5376671567,-0.029837609050701736,510.72343001912895,8.883816838214218,0.0025545870037860306,3697238.5376671567,19812.462332843115,3717050.9999999986,0.005358718982017364,1.1155346850225494,7.173820819743381,0.15550077330513168
diabetes_race,bfkm,2,3562609.174832767,0.07490380774704253,4131.631146967364,3.956187093423933,0.005837808337537158,3562609.174832767,154441.8251672045,3717050.9999999986,0.0433507627662959,2.5490667597950147,7.306972907532088,0.3488540045313998
diabetes_race,fair_centroid,2,3577267.5629990124,0.0685124143028397,3724.166502961187,4.1521061425635235,0.005568315754771794,3577267.5629990124,139783.43700096026,3717050.9999999986,0.03907547717335754,2.43156696264385,7.322364287292386,0.3320740224388615
diabetes_race,postprocessing_nfp,2,3562639.293325763,0.07437579012248248,4130.790494442908,3.955483236458408,0.005835538779776856,3562639.293325763,154411.70667420927,3717050.9999999986,0.043341942296399094,2.5482576655198925,7.303442663638736,0.34891184649217116
diabetes_race,postprocessing_gini,2,3562711.7080665375,0.07433026782281878,4128.769348076932,3.956424944409604,0.005834170267657044,3562711.7080665375,154339.29193343545,3717050.9999999986,0.04332073560259931,2.5476600649158567,7.303538577905565,0.34882544094761925
diabetes_race,rawlsian,2,3562607.9442422325,0.07478784077692208,4131.665494905777,3.9558821733770366,0.005836841664322129,3562607.9442422325,154443.05575773906,3717050.9999999986,0.04335112315890519,2.5488266079355073,7.305985968506811,0.34886825938654703
diabetes_combined,kmeans,2,3562609.445109017,0.07477041667178165,4131.6236030867985,3.956194186500057,0.00583694845518712,3562609.445109017,154441.55489095635,3717050.9999999986,0.043350683612817506,2.5488732412714494,7.30672308980858,0.3488394468960537
diabetes_combined,fairlet,2,3708020.2523564715,-0.06244194862682722,232.11671109795967,8.50491786554308,0.0025947127143342175,3708020.2523564715,9030.74764352682,3717050.9999999986,0.002435463408752344,1.1330567431130896,6.957721712787567,0.16284881601841728
diabetes_combined,bfkm,2,3568650.342360287,0.013172660309470492,3963.2970789478672,3.082145652010486,0.006773755236198651,3568650.342360287,148400.65763965744,3717050.9999999986,0.04158453291938543,2.9579571580978805,6.59844051146155,0.4482812496316187
diabetes_combined,fair_centroid,2,3581783.406535941,0.06521943836527008,3599.3099154884103,4.210433166186508,0.005485455507757782,3581783.406535941,135267.5934640338,3717050.9999999986,0.03776543082342756,2.3953836267791195,7.3131964171945185,0.32754263527603084
diabetes_combined,postprocessing_nfp,2,3562620.1538900356,0.07432659699325203,4131.324703288632,3.9550672553848747,0.005835817887585876,3562620.1538900356,154430.8461099379,3717050.9999999986,0.043347547433962165,2.5483795460592367,7.303074984564681,0.3489461016688629
diabetes_combined,postprocessing_gini,2,3562620.1538900356,0.07432659699325203,4131.324703288632,3.9550672553848747,0.005835817887585876,3562620.1538900356,154430.8461099379,3717050.9999999986,0.043347547433962165,2.5483795460592367,7.303074984564681,0.3489461016688629
diabetes_combined,rawlsian,2,3562607.9442422325,0.07478784077692208,4131.665494905777,3.9558821733770366,0.005836841664322129,3562607.9442422325,154443.05575773906,3717050.9999999986,0.04335112315890519,2.5488266079355073,7.305985968506811,0.34886825938654703
