Dataset,Method,k,ARI,NMI,AMI,FMI,V-Measure
ADULT,KMEANS,5,0,0,0,0,0
ADULT,FAIRLET,3,0,0,0,0,0
ADULT,BFKM,6,0,0,0,0,0
COMPAS,KMEANS,2,0,0,0,0,0
COMPAS,FAIRLET,2,0,0,0,0,0
COMPAS,BFKM,2,0,0,0,0,0
GERMAN,KMEANS,6,0,0,0,0,0
GERMAN,FAIRLET,3,0,0,0,0,0
GERMAN,BFKM,2,0,0,0,0,0
CREDIT,KMEANS,2,0,0,0,0,0
CREDIT,FAIRLET,2,0,0,0,0,0
CREDIT,BFKM,2,0,0,0,0,0
LAW,KMEANS,4,0,0,0,0,0
LAW,FAIRLET,2,0,0,0,0,0
LAW,BFKM,3,0,0,0,0,0
