Dataset,Method,k,Balance,SPD,Disparate_Impact,Entropy
diabetes_gender,kmeans,2,0.8582834304363842,0.01347674384701783,0.9733648197550979,0.9956515188687218
diabetes_gender,fairlet,2,0.8775033591400602,0.06947290994968286,0.8689931610404589,0.9929484489285914
diabetes_gender,bfkm,2,0.858478552047427,0.014220071312709914,0.9719062762037345,0.9956469630632359
diabetes_gender,fair_centroid,2,0.8577654582691243,0.007020726019155404,0.9860200441308296,0.9957269194794273
diabetes_gender,postprocessing_nfp,2,0.8583092053585462,0.013370889109893563,0.9735678733047364,0.9956554621550777
diabetes_gender,postprocessing_gini,2,0.8583092053585462,0.013370889109893563,0.9735678733047364,0.9956554621550777
diabetes_gender,rawlsian,2,0.8585326467561107,0.014139057599425353,0.9720576612642569,0.9956522268857759
diabetes_race,kmeans,2,0.252100120036869,0.015838651887877808,0.9687161558167121,0.7244215012377296
diabetes_race,fairlet,2,0.5690031365062048,0.39312381097258176,0.3995680070122945,0.766500545119019
diabetes_race,bfkm,2,0.25209477473877107,0.015466148137027402,0.9694360977712091,0.7244231365655187
diabetes_race,fair_centroid,2,0.2518361393409939,0.014275883768738479,0.9715918381537256,0.7241190219397228
diabetes_race,postprocessing_nfp,2,0.25211891365136346,0.016218758956686313,0.9679874923018921,0.7244366013193858
diabetes_race,postprocessing_gini,2,0.25211891365136346,0.016218758956686313,0.9679874923018921,0.7244366013193858
diabetes_race,rawlsian,2,0.25213011952330866,0.014380570819899435,0.9715592732304397,0.7244915568644161
diabetes_combined,kmeans,2,0.6383603050411593,0.00406899706179778,0.9918525064105401,0.9645472251210372
diabetes_combined,fairlet,2,0.7314018218623481,0.18503599179185115,0.6817014915771635,0.9502013508658985
diabetes_combined,bfkm,2,0.6387289190374223,0.0007867449409277999,0.997780364383426,0.9646504280744832
diabetes_combined,fair_centroid,2,0.639652641882265,0.012632705943103839,0.9748456492630909,0.9647233064093056
diabetes_combined,postprocessing_nfp,2,0.638211293689921,0.0026793727410542034,0.994629166480975,0.9645200459061377
diabetes_combined,postprocessing_gini,2,0.638211293689921,0.0026793727410542034,0.994629166480975,0.9645200459061377
diabetes_combined,rawlsian,2,0.6385323298436785,0.005926296782127055,0.9881610813786075,0.9645713637842721
dutch_gender,kmeans,10,0.7934145837338253,0.028121204545190005,0.7940983601263154,0.9813683286576087
dutch_gender,fairlet,10,0.9962995594713657,0.0007418845358664126,0.9929561332409105,0.9999743646957745
dutch_gender,bfkm,10,0.7816643694149493,0.028015771969159664,0.7815819074545607,0.9811915654437104
dutch_gender,fair_centroid,10,0.7804181864290981,0.027677650743149273,0.780352964461341,0.9829990005513501
dutch_gender,postprocessing_nfp,10,0.7889070029433047,0.027351886633177218,0.7888257792621806,0.9835740631370017
dutch_gender,postprocessing_gini,10,0.7889070029433047,0.027351886633177218,0.7888257792621806,0.9835740631370017
dutch_gender,rawlsian,10,0.7793297702347808,0.028383539491756142,0.779359609018858,0.9782061499806183
meps_gender,kmeans,5,0.8922799111094978,0.018838895695857057,0.8750320145757604,0.9967328991285458
meps_gender,fairlet,5,0.9449708204600068,0.026330732457566553,0.8882953046388392,0.9963131728806858
meps_gender,bfkm,5,0.9068265173378786,0.018494277370375484,0.8883632493067359,0.9970844317070331
meps_gender,fair_centroid,5,0.8943592762518036,0.018645261422590684,0.8768727766064591,0.9967572381658384
meps_gender,postprocessing_nfp,5,0.9003887343901736,0.018475831433482616,0.8825852161485814,0.9970549987744064
meps_gender,postprocessing_gini,5,0.9003887343901736,0.018475831433482616,0.8825852161485814,0.9970549987744064
meps_gender,rawlsian,5,0.8847644222773516,0.01836408104524643,0.9004709868060685,0.9963570089642712
meps_race,kmeans,5,0.4676086846476757,0.018484695696241137,0.8947097858174333,0.899037002560392
meps_race,fairlet,5,0.8342789442506418,0.16286096183781842,0.44704397838786464,0.9201091614915695
meps_race,bfkm,5,0.48539414203883846,0.01821311260375323,0.8882518456715983,0.9074074688800483
meps_race,fair_centroid,5,0.469341555373919,0.018615169953382894,0.8974331432595314,0.8999839586403716
meps_race,postprocessing_nfp,5,0.46730621983042225,0.018230695188240123,0.8961708789100855,0.8990086687166347
meps_race,postprocessing_gini,5,0.46730621983042225,0.018230695188240123,0.8961708789100855,0.8990086687166347
meps_race,rawlsian,5,0.472384828788144,0.024610716153968034,0.8802743358435159,0.9011047205626216
meps_combined,kmeans,5,0.8686506097382548,0.027714763303831234,0.8585111386652992,0.9937533470318162
meps_combined,fairlet,5,0.9166911404796867,0.0438739809251495,0.8216227491195559,0.9898979923359196
meps_combined,bfkm,5,0.8398871411922503,0.02683824868708919,0.8649999965032705,0.9916464145238317
meps_combined,fair_centroid,5,0.856174219207416,0.027804585953353438,0.8696667007151273,0.9932976610710723
meps_combined,postprocessing_nfp,5,0.8761848727369566,0.026536212920802365,0.8659184333945429,0.9943721169314212
meps_combined,postprocessing_gini,5,0.8761848727369566,0.026536212920802365,0.8659184333945429,0.9943721169314212
meps_combined,rawlsian,5,0.8369298299595057,0.026893916779903625,0.8612963677090113,0.9916570772918378
